REGIÓN;NOMBRE;SUBTIPO;CONTENIDO
Piura;Estuario De Virrilá;Humedales;"""Santuario natural de importancia ecológica en Piura, hábitat de aves migratorias y especies marinas, ideal para observación de fauna."""
Piura;Playa Punta Balcones;Puntas;"""Punto más occidental del continente sudamericano, en Talara, con vistas al océano, formaciones rocosas y biodiversidad marina."""
San Martín;Aguas Sulfurosas De Oromina;Ojos de agua;"""Fuente termal natural con propiedades medicinales ubicada en Piura, ideal para tratamientos reumáticos y relajación."""
Amazonas;Catarata Numparket;Cataratas;"""Espectacular caída de agua rodeada de vegetación en la selva amazónica de Amazonas, accesible mediante caminatas ecológicas."""
Amazonas;Pinturas Rupestres De Yamon;Pintura Rupestre;"""Manifestaciones rupestres en cuevas ubicadas en Amazonas, con figuras antropomorfas y zoomorfas de origen preincaico."""
San Martín;Lago Sauce (Laguna Azul);Lagunas;"""Laguna de aguas cálidas y tranquilas rodeada de vegetación tropical en San Martín, ideal para turismo de naturaleza y aventura."""
San Martín;Cascada De Tununtunumba;Cascadas;"""Catarata ubicada en San Martín rodeada de bosques nublados, con acceso mediante rutas de trekking de mediana dificultad."""
San Martín;Cataratas De Ahuashiyacu;Cataratas;"""Una de las cataratas más visitadas de Tarapoto, con fácil acceso, rodeada de flora tropical y pozas aptas para bañarse."""
La Libertad;Complejo Arqueológico Chan Chan;Zonas arqueológicas;"""Ciudad de barro más grande de América precolombina, capital del reino Chimú en La Libertad, Patrimonio de la Humanidad."""
Áncash;Sitio Arqueológico De Tumshukaiko;Templos;"""Centro ceremonial preincaico ubicado en Áncash, considerado uno de los más antiguos asentamientos de la región andina."""
La Libertad;Cuento La Laguna Del Toro;Cuentos;"""Leyenda tradicional sobre una laguna encantada ubicada en la sierra, relacionada con mitos de transformación y castigo."""
La Libertad;Complejo Arqueológico El Brujo;Templos;"""Sitio arqueológico mochica en La Libertad, famoso por la tumba de la Señora de Cao y sus impresionantes murales policromos."""
La Libertad;Huacas Del Sol Y La Luna;Zonas arqueológicas;"""Conjunto ceremonial moche en Trujillo, que incluye pirámides de adobe decoradas con relieves y murales religiosos."""
La Libertad;Balneario De Huanchaco;Playas;"""Playa tradicional en La Libertad famosa por los caballitos de totora, surf y gastronomía marina."""
La Libertad;Complejo Arqueológico De Pakatnamú;Templos;"""Sitio mochica en La Libertad con estructuras piramidales y recintos ceremoniales en adobe, ubicado cerca del río Jequetepeque."""
La Libertad;Campo Termal “Ojo De Aguas Calientes”;Ojos de agua;"""Zona de aguas termales naturales en Cajamarca, ideal para baños relajantes y con propiedades curativas."""
La Libertad;Laguna Sausacocha;Lagunas;"""Laguna ubicada cerca de Huamachuco, ideal para paseos en bote, pesca y degustación de truchas."""
La Libertad;Fiesta Patronal Del Señor De La Piedad;Fiestas religiosas-patronales;"""Celebración religiosa de profundo fervor católico en Cajamarca, con procesiones, danzas y manifestaciones culturales."""
La Libertad;Cerro Chepén - Vía Crusis;Esculturales;"""Cerro emblemático en La Libertad donde se realiza un tradicional vía crucis en Semana Santa, con peregrinación y devoción popular."""
La Libertad;Iglesia Matriz De San Pedro De Lloc;Iglesias;"""Templo católico de estilo colonial ubicado en Pacasmayo, importante centro religioso y cultural del norte peruano."""
La Libertad;El Pellón Sanpedrano;Tejidos(lanas, fibras de animales, fibra vegetal. Etc);"""Festividad local en honor a San Pedro en San Pedro de Lloc, que incluye danzas, ferias y actividades religiosas."""
La Libertad;Bosque Natural El Cañoncillo ;Bosques de protección;"""Área de conservación natural en Pacasmayo con bosques secos, lagunas y restos arqueológicos precolombinos."""
San Martín;Morro De Calzada;Cerros;"""Formación montañosa cerca de Moyobamba, con miradores naturales, flora y fauna nativa, ideal para senderismo."""
Loreto;Iglesia Matriz De Iquitos;Iglesias;"""Iglesia católica ubicada en la Plaza de Armas de Iquitos, de estilo neogótico y valor histórico para la ciudad."""
Loreto;Casa Morey;Casa de Valor Arquitectónico;"""Mansión histórica construida durante el auge del caucho en Iquitos, representativa del esplendor arquitectónico de inicios del siglo XX."""
Loreto;Ex Colegio San Agustín;Escuela o Colegio;"""Antigua institución educativa de Iquitos con valor patrimonial, actualmente usada como centro cultural y de eventos."""
Loreto;Mirador De La Comunidad De Independencia - Punchana;Miradores;"""Mirador turístico en Iquitos que permite observar el paisaje amazónico y el río Amazonas."""
Loreto;Parque Turístico De Quistococha;Zoológicos;"""Complejo turístico con zoológico, laguna y centro recreativo en Iquitos, ideal para conocer la fauna amazónica."""
Loreto;Pueblo De Belén ;Tradicionales;"""Barrio flotante de Iquitos, conocido por sus casas sobre pilotes y su mercado tradicional, considerado la ""Venecia amazónica""."""
Lambayeque;Complejo Arqueológico Huaca Rajada - Sipán;Templos;"""Sitio arqueológico en Lambayeque donde se descubrió la tumba del Señor de Sipán, uno de los hallazgos más importantes del Perú."""
Lambayeque;Festival Caballito De Totora;Festivales;"""Celebración tradicional en Huanchaco que rinde homenaje a la embarcación ancestral usada por pescadores desde tiempos preincaicos."""
Lambayeque;Quebrada De Los Boliches O Petroglifos Los Pipochinos;Petroglifos (Grabados en piedra);"""Sitio con inscripciones y figuras grabadas en piedra de origen prehispánico, ubicado en Lambayeque."""
Lambayeque;Centenario Muelle De Puerto Eten;Muelles;"""Infraestructura centenaria ubicada en Lambayeque, importante para el comercio marítimo y de valor histórico."""
Lambayeque;Semana Santa En Reque;Fiestas religiosas-patronales;"""Celebración religiosa tradicional con procesiones y representaciones vivientes de la pasión de Cristo en Reque, Lambayeque."""
Lambayeque;Complejo Arqueologico Chotuna-Chornancap;Zonas arqueológicas;"""Sitio ceremonial y funerario de la cultura Lambayeque con pirámides de adobe y hallazgos arqueológicos importantes."""
Cajamarca;Santuario Nacional Tabaconas Namballe;Santuarios Nacionales;"""Área natural protegida en Cajamarca que conserva bosques nublados y especies endémicas, ideal para ecoturismo."""
Cajamarca;Pinturas Rupestre Del Cerro Faical;Pintura Rupestre;"""Manifestaciones gráficas antiguas en acantilados de Tumbes, representando escenas de caza y figuras humanas."""
Cajamarca;Finca Parcela Quinta San Antonio;Otros;"""Agroturismo vivencial en Tumbes que ofrece recorridos por cultivos, producción de cacao, y gastronomía local."""
Cajamarca;Leyenda Del Principe Cuan Y La Princesa Tantarica;Otros;"""Cuento tradicional del norte del Perú que relata el trágico romance entre dos jóvenes de culturas distintas."""
Junín;Casa Del Artesano De Huancayo;Mercados  Artesanales;"""Espacio cultural donde se reúnen y exponen trabajos de artesanos del valle del Mantaro, ideal para apreciar arte popular."""
Junín;Parque De La Identidad Wanka;Parques;"""Parque temático en Huancayo que celebra la cultura wanka a través de esculturas, arte y arquitectura tradicional."""
Junín;Pueblo Artesanal De Cochas Grande;Artesanales;"""Comunidad de artesanos especialistas en mates burilados, ubicada en Junín, reconocida por su arte decorativo."""
Junín;Pueblo Artesanal De Hualhuas;Artesanales;"""Localidad conocida por sus tejidos artesanales en telar, con productos como ponchos y alfombras elaborados a mano."""
Pasco;Parque Nacional Yanachaga Chemillén Zona De Uso Turístico San Alberto;Parques Nacionales;"""Área protegida en Pasco con rica biodiversidad, senderos interpretativos y zonas para educación ambiental y turismo sostenible."""
Pasco;Iglesia Matriz Santa Rosa De Oxapampa;Iglesias;"""Templo católico de arquitectura tirolesa, símbolo de la herencia austro-alemana en la región de Oxapampa."""
Pasco;Casa Tradicional Hassinger Baumann Haus;Casa de Valor Arquitectónico;"""Casa histórica de colonos austroalemanes en Oxapampa, que refleja la arquitectura típica y el estilo de vida europeo."""
Pasco;Iglesia Nuestra Señora De Asunción De Quillazú;Iglesias;"""Templo rural de la selva central, con arquitectura típica de la colonia austro-alemana, en medio del paisaje amazónico."""
Pasco;Iglesia San José - Pozuzo;Iglesias;"""Iglesia principal del primer asentamiento austro-alemán en Perú, símbolo de la fusión cultural y religiosa."""
Pasco;Cascada Anana;Cascadas;"""Catarata de gran belleza natural en la selva de Pasco, rodeada de vegetación tropical y accesible mediante caminata."""
Áncash;Zona Arqueológica Monumental Cerro Sechín;Templos;"""Sitio arqueológico en Áncash famoso por sus esculturas en piedra que representan escenas de guerra y sacrificios rituales."""
Áncash;Museo Regional De Casma Max Uhle;Museos;"""Museo arqueológico ubicado en Áncash, alberga piezas de las culturas Sechín, Chavín y otras, destacando el legado precolombino de la región."""
Ica;Museo Regional De Ica “Adolfo Bermúdez Jenkins”;Museos;"""Museo que conserva piezas de las culturas Paracas, Nasca e Inca, incluyendo momias, textiles, cerámicas y objetos religiosos."""
Ica;Bodega Vista Alegre;Bodegas de pisco, vinos y/u otros licores;"""Bodega tradicional en Ica dedicada a la producción de vinos y piscos, donde se pueden realizar visitas guiadas y degustaciones."""
Áncash;Puente Antonio Raimondi;Puentes;"""Infraestructura histórica en Ica nombrada en honor al sabio italiano, conecta comunidades y forma parte del legado urbano regional."""
Ica;Laguna De Huacachina;Lagunas;"""Oasis natural rodeado de dunas en Ica, famoso por el sandboarding, paseos en buggies y su leyenda sobre la sirena de Huacachina."""
Ica;Bodega Ocucaje;Bodegas de pisco, vinos y/u otros licores;"""Bodega vitivinícola ubicada en el distrito de Ocucaje, reconocida por su producción de pisco y vino, y por su valor histórico."""
Ica;Caserío De Cachiche;Tradicionales;"""Pueblo místico cerca de Ica conocido por las leyendas de brujería, la palma de siete cabezas y sus tradiciones esotéricas."""
Ica;Huaca La Centinela;Templos;"""Sitio arqueológico preinca ubicado en Chincha, Ica, asociado a la cultura Chincha y a funciones administrativas del periodo incaico."""
Ica;Casa Hacienda San José;Casa-Hacienda;"""Antigua hacienda colonial en Chincha con arquitectura virreinal, historia ligada a la esclavitud afroperuana y hoy convertida en hotel-museo."""
Ica;Santuario De La Melchorita;Santuario;"""Santuario en Grocio Prado dedicado a Melchora Saravia Tasayco, venerada como santa popular por sus milagros y obras de caridad."""
Ica;Comunidad Del Carmen;Costa;"""Comunidad afroperuana en Chincha reconocida por su música, danzas (como el zapateo) y rica herencia cultural afrodescendiente."""
Ica;Sitio Arqueológico La Muña;Templos;"""Asentamiento arqueológico de origen prehispánico ubicado en Ica, con restos de viviendas y espacios ceremoniales."""
Ica;Petroglifos De Chicchitara;Petroglifos (Grabados en piedra);"""Conjunto de grabados en piedra ubicados cerca del río Grande, representan animales, figuras humanas y símbolos astronómicos."""
Ica;Paisaje Arqueologico Telar De Sacramento - Reloj Solar;Geoglifos (Grabado en tierra);"""Sitio ceremonial precolombino en Nasca con alineaciones astronómicas utilizadas como reloj solar para actividades agrícolas."""
Ica;Acueducto De Cantayo;Otros;"""Obra hidráulica preincaica de Nasca con canales subterráneos que aún funcionan, muestra del avanzado conocimiento hidráulico."""
Ica;Centro Ceremonial Cahuachi;Ciudadelas;"""Centro religioso de la cultura Nasca, con pirámides y plazas ceremoniales, considerado uno de los sitios más importantes de esta civilización."""
Ica;Líneas Y Geoglifos De Nasca Y Palpa;Geoglifos (Grabado en tierra);"""Figuras trazadas sobre la superficie del desierto, representan animales, plantas y formas geométricas; Patrimonio de la Humanidad."""
Ica;Reserva Nacional De Paracas;Reservas Nacionales;"""Área protegida costera en Ica, hogar de lobos marinos, aves marinas y fauna marina; combina biodiversidad y restos arqueológicos."""
Áncash;Playa Tuquillo;Playas;"""Playa ubicada en Huarmey, conocida por su belleza natural, aguas claras y tranquilas, ideal para el turismo de sol y playa."""
Áncash;Monumento Arqueológico Intangible Waullac ;Zonas arqueológicas;"""Sitio arqueológico en Huaraz, perteneciente a la cultura Recuay, con estructuras de piedra y funciones ceremoniales."""
Lambayeque;Catedral De Chiclayo;Catedral;"""Iglesia principal de la ciudad de Chiclayo, de estilo neoclásico, centro de la vida religiosa y cultural de la región."""
Lambayeque;Iglesia San Pedro De Lambayeque;Iglesias;"""Templo católico de estilo barroco, importante por su valor arquitectónico e historia religiosa en la región norte del Perú."""
Lambayeque;Iglesia San Pedro De Mórrope;Iglesias;"""Iglesia tradicional de Lambayeque construida en adobe, representativa de la arquitectura religiosa rural del siglo XVII."""
Lambayeque;Iglesia Santa Lucía De Ferreñafe;Iglesias;"""Iglesia colonial que data del siglo XVI, símbolo de la fe católica en Ferreñafe y declarada patrimonio cultural."""
Lambayeque;Museo Arqueológico Nacional Bruning;Museos;"""Museo ubicado en Lambayeque, alberga una amplia colección de artefactos de las culturas Mochica, Lambayeque y Chimú."""
Lambayeque;Playa Pimentel;Playas;"""Playa popular de Chiclayo con malecón, muelle histórico y práctica de surf, ideal para disfrutar de la gastronomía marina."""
Lambayeque;Playa Las Rocas;Playas;"""Playa de belleza escénica ubicada cerca de Pimentel, con formaciones rocosas y entorno tranquilo, ideal para el descanso."""
Lambayeque;Leyenda Del Carretón;Otros;"""Cuento tradicional del norte del Perú sobre un carretón fantasmal que aparece en las noches, con origen en mitos populares."""
Lambayeque;Playa Santa Rosa;Playas;"""Playa y caleta pesquera ubicada en Lambayeque, donde se puede observar la actividad artesanal de pesca y disfrutar de mariscos frescos."""
Lambayeque;Santuario Histórico Bosque De Pómac;Santuarios Históricos;"""Área protegida en Lambayeque que conserva un bosque seco y alberga huacas de la cultura Sicán, ideal para turismo cultural y ecológico."""
Lambayeque;Muelle De Pimentel;Muelles;"""Muelle histórico usado por pescadores y turistas para disfrutar del mar."""
Lambayeque;Parque Artesanal De Monsefú;Otros;"""Espacio donde se exponen y venden artesanías típicas de Monsefú."""
Loreto;Pueblo De Mazan;Tradicionales;"""Pequeña localidad amazónica rica en costumbres y paisajes naturales."""
Loreto;Museo Amazónico;Museos;"""Museo que muestra la historia y diversidad cultural de la Amazonía."""
Loreto;Casa De Fierro;Casa de Valor Arquitectónico;"""Estructura icónica de hierro diseñada por Gustave Eiffel."""
Loreto;Ex Hotel Palace;Casa de Valor Arquitectónico;"""Antiguo hotel que refleja el esplendor de la época del caucho."""
Loreto;Mercado Artesanal Turístico De San Juan;Ferias Artesanales;"""Mercado turístico con variedad de artesanías y productos locales."""
Loreto;El Inchicapi;Platos Típicos;"""Sopa amazónica espesa preparada con gallina, maní y especias."""
Loreto;Fiesta Patronal San Juan Bautista;Fiestas religiosas-patronales;"""Celebración religiosa con danzas, procesiones y festividades en honor a San Juan."""
Loreto;Tacacho;Platos Típicos;"""Plato tradicional hecho de plátano asado y majado, acompañado con cecina."""
Loreto;Timbuche;Platos Típicos;"""Caldo amazónico elaborado con pescado, hierbas y ajíes locales."""
Loreto;Momón El Guardián Del Bosque ;Cuentos;"""Personaje mítico que protege la selva y sus criaturas."""
Loreto;Nina Juane;Platos Típicos;"""Tamales de arroz rellenos de carne, envueltos en hojas de bijao."""
Loreto;Sudado De Gamitana;Platos Típicos;"""Guiso típico de pescado amazónico con tomate, ajíes y especias."""
Loreto;Paiche Frito Con Chonta Y Yuca O Platano;Platos Típicos;"""Pescado amazónico frito servido con chonta, yuca o plátano."""
Loreto;Ensalada De Chonta O Palmito;Platos Típicos;"""Ensalada fresca elaborada con tiras de chonta o palmito."""
Loreto;Masato;Bebidas Típicas;"""Bebida fermentada de yuca dulce tradicional en reuniones y festividades."""
Loreto;Changanacuy;Música y Danzas;"""Danza tradicional piurana que se baila durante fiestas patronales."""
Junín;Catedral De Huancayo;Iglesias;"""Catedral colonial con majestuosos retablos y gran valor histórico."""
Moquegua;Iglesia  Belén;Iglesias;"""Iglesia barroca famosa por su altar tallado en madera."""
Moquegua;Casa Chocano;Casa de Valor Arquitectónico;"""Casa histórica que conserva detalles arquitectónicos de la época republicana."""
Moquegua;Molinos Coloniales-Fundo La Bobeda;Molino;"""Molinos antiguos que servían para procesar granos durante la colonia."""
Moquegua;Aguas Termales De Cuchumbaya;Otros;"""Pozas termales naturales usadas para relajación y fines medicinales."""
Moquegua;Geiser De Puente Bello;Geiser;"""Geiser que emite vapor y agua caliente creando un espectáculo natural."""
Moquegua;Iglesia San Agustín De Torata ;Iglesias;"""Iglesia colonial destacada por su arquitectura y retablos religiosos."""
Moquegua;Zona Arqueológica Monumental Cerro Baúl;Recintos ceremoniales;"""Complejo arqueológico preincaico ubicado en la cima de un cerro sagrado."""
Moquegua;Sitio Arqueológico Camata;Templos;"""Zona arqueológica que conserva vestigios de la época prehispánica."""
Moquegua;Cataratas De Mollesaja;Cataratas;"""Cascadas cristalinas rodeadas de vegetación y formaciones rocosas."""
Moquegua;Valle De Omate;Valles;"""Valle agrícola rodeado de montañas y tradiciones ancestrales."""
Moquegua;Catarata El Chorro;Cataratas;"""Cascada de gran altura ideal para turismo de naturaleza."""
Moquegua;Aguas Termales De Ullucán;Otros;"""Baños termales naturales ubicados en un entorno andino."""
Moquegua;Aguas Termales De Ichuña;Otros;"""Pozas termales utilizadas para relajación y terapias naturales."""
Moquegua;Glorieta José Gálvez - Ilo;Glorietas;"""Mirador con glorieta que ofrece vistas panorámicas de la ciudad de Ilo."""
Moquegua;Casa Tradicional Herbert De La Flor Angulo ;Casa de Valor Arquitectónico;"""Casa tradicional que refleja la arquitectura histórica de Ilo."""
Moquegua;Iglesia De San Jerónimo - Ilo;Iglesias;"""Iglesia colonial con retablos y arte religioso en el puerto de Ilo."""
Moquegua;Punta Coles - Rnsiipg;Reservas Nacionales;"""Punta costera con vistas al mar y avistamiento de fauna marina."""
Moquegua;Playa Pozo De Lisas - Ilo;Playas;"""Playa tranquila frecuentada por familias y pescadores locales."""
Moquegua;Caleta  Puerto Inglés - Ilo;Caletas;"""Antigua caleta con historia vinculada a navegantes ingleses."""
Moquegua;Museo Municipal De Sitio El Algarrobal (Chiribaya);Museos;"""Museo que conserva restos y piezas de la cultura Chiribaya."""
Moquegua;Playa Wawakiki - Pacocha;Playas;"""Playa conocida por sus olas ideales para deportes acuáticos."""
Piura;Basílica Catedral San Miguel Arcangel De Piura;Basílica;"""Catedral histórica con retablos barrocos de gran valor artístico."""
Piura;Casa Museo Almirante Miguel Grau;Casa de Valor Arquitectónico;"""Casa museo dedicada a la vida y legado del almirante Miguel Grau."""
Piura; Complejo Arqueológico Monumental “Narihualá”;Templos;"""Complejo arqueológico de la cultura Tallán que muestra recintos ceremoniales."""
Piura;Iglesia San Juan Bautista;Iglesias;"""Iglesia colonial dedicada a San Juan Bautista."""
Piura;Calle Comercio;Otros;"""Calle histórica con arquitectura colonial y ambiente tradicional."""
Piura;Bosque De Cuyas;Bosques;"""Bosque seco protegido con flora y fauna endémica de la región."""
Piura;Complejo Arqueológico De Aypate;Templos;"""Zona arqueológica preincaica ubicada en lo alto de un cerro."""
Piura;Laguna San Pablo;Lagunas;"""Laguna altoandina rodeada de montañas y cargada de leyendas."""
Piura;Complejo Arqueológico De Caxas;Templos;"""Vestigios arqueológicos que reflejan el legado de la cultura Caxas."""
Piura;Cerro Arqueológico Vicús;Templos;"""Centro arqueológico con restos de la cultura Vicús y piezas de cerámica."""
Piura;Playa Colán;Playas;"""Playa de arena fina famosa por sus atardeceres y arquitectura colonial cercana."""
Piura;Paseo Turicarami;Paseos peatonales;"""Paseo marítimo que bordea la costa con vistas y áreas de descanso."""
Piura;Coto De Caza El Angolo.;Cotos de Caza;"""Área natural destinada a la caza deportiva controlada y conservación."""
Piura;Playa Los Órganos;Playas;"""Playa conocida por sus olas ideales para el surf y ambiente tranquilo."""
Piura;Playa Máncora;Playas;"""Destino turístico popular por sus playas, surf y vibrante vida nocturna."""
Puno;Basilica Menor De La Catedral De Puno;Basílica;"""Catedral de estilo neoclásico ubicada frente a la Plaza de Armas de Puno."""
Puno;Iglesia San Juan Bautista - Santuario Virgen De La Candelaria;Iglesias;"""Iglesia donde se venera a la Virgen de la Candelaria, patrona de Puno."""
Puno;Parque Pino;Parques;"""Parque emblemático de Puno decorado con esculturas y áreas verdes."""
Puno;Reserva Nacional Del Titicaca;Reservas Nacionales;"""Área protegida que resguarda ecosistemas únicos del lago Titicaca."""
Puno;Lago Titicaca;Lagos;"""Lago navegable más alto del mundo, famoso por sus islas flotantes."""
Puno;Sitio Arqueológico De Molloco;Templos;"""Restos arqueológicos que muestran construcciones preincaicas de piedra."""
Puno;Templo San Juan Evangelista De Acora;Iglesias;"""Iglesia colonial ubicada a orillas del lago con bellos retablos."""
Apurímac;Templo San Juan De Llaqwa ;Templo;"""Iglesia andina que refleja el mestizaje entre arquitectura europea e indígena."""
Apurímac;Templo Colonial De Huaquirca;Templo;"""Templo colonial que destaca por su arquitectura y valor histórico."""
Puno;Complejo Arqueológico De Sillustani;Cementerios;"""Conjunto de chullpas o torres funerarias preincaicas junto al lago Umayo."""
Puno;Sitio Arqueológico Inka Uyu;Zonas arqueológicas;"""Pequeño recinto ceremonial preincaico asociado a ritos de fertilidad."""
Puno;Templo De Santo Domingo;Templo;"""Iglesia colonial con retablos tallados y decoración barroca."""
Puno;Templo De Nuestra Señora De La Asunción De Chucuito;Templo;"""Templo colonial con arquitectura renacentista en la ciudad de Chucuito."""
Puno;Glorieta - Mirador De Chucuito;Miradores;"""Mirador con glorieta que ofrece vistas panorámicas del lago Titicaca."""
Puno;Templo De Nuestra Señora De La Asunción;Templo;"""Iglesia colonial con retablos dorados y fachada de piedra tallada."""
Puno;Complejo Arqueológico De Cutimbo;Templos;"""Necrópolis preincaica con chullpas y petroglifos tallados en roca."""
Puno;Templo De Nuestra Señora De La Asuncion De Azangaro;Templo;"""Templo virreinal con detalles barrocos y retablos dorados."""
Puno;Templo De Tintiri;Templo;"""Iglesia de piedra ubicada en la comunidad de Tintiri con valor patrimonial."""
Puno;Templo San Jeronimo;Templo;"""Iglesia histórica con retablos barrocos y fachada de piedra labrada."""
Puno;Templo Santiago Apostol - Santiago De Pupuja;Templo;"""Iglesia colonial destacada por su arquitectura de piedra y campanario."""
Puno;Arte Rupestre De Chaqatira;Pintura Rupestre;"""Arte rupestre preincaico tallado en rocas que muestra figuras y símbolos."""
Puno;Nevados Allin Qhapaq, Huayna Qhapaq Y Chichi Qhapaq;Nevado;"""Conjunto de picos nevados que forman parte de la cordillera del sur."""
Puno;Baños Termales De Ollachea;Otros;"""Baños termales en un entorno natural usados para terapias y relajación."""
Puno;Capilla Colonial De Cotaña;Capilla;"""Pequeña capilla colonial que conserva altares y detalles de época."""
Puno;Ciudad De Juli;Históricos;"""Ciudad histórica conocida como la ‘Pequeña Roma de América’ por sus templos."""
Puno;Templo San Pedro Martir;Iglesias;"""Iglesia de piedra ubicada en Juli con valiosos retablos coloniales."""
Puno;Templo Museo San Juan De Letran De Juli;Templo;"""Museo-templo que guarda piezas coloniales y arte religioso."""
Puno;Templo De La Asunción O Santa Maria La Mayor;Templo;"""Templo colonial con retablo mayor de estilo barroco."""
Puno;Templo De Santiago Apóstol O Nuestra Señora Del Rosario;Templo;"""Iglesia de piedra famosa por sus altares y campanario ornamentado."""
Puno;Playa Chatuma;Playas;"""Playa tranquila junto al lago Titicaca frecuentada por locales."""
Puno;Templo De San Pedro Y San Pablo De Zepita;Templo;"""Iglesia colonial ubicada en la frontera con Bolivia con retablos barrocos."""
Puno;Complejo Arqueologico De Tanka Tanka;Fortalezas;"""Sitio arqueológico preincaico con restos de recintos ceremoniales."""
Puno;Templo Santiago Apostol;Templo;"""Iglesia colonial dedicada al apóstol Santiago, construida en piedra."""
Apurímac;Templo San Salvador De Antabamba ;Templo;"""Iglesia colonial ubicada en Antabamba con retablos dorados."""
Puno;Puente Republicano De Lampa;Puentes;"""Puente de piedra republicano que cruza el río Lampa."""
Puno;Complejo Arqueológico De Pukará;Templos;"""Complejo arqueológico con chullpas y esculturas de piedra preincaicas."""
Puno;Baños Termales De Pojpoquella;Ojos de agua;"""Baños termales usados por la población local para descanso y salud."""
Puno;Cañón De Tinajani;Cañones;"""Formación rocosa con enormes pilares de piedra moldeados por la erosión."""
Puno;Templo De San Pedro Apostol;Templo;"""Iglesia colonial de piedra tallada dedicada a San Pedro Apóstol."""
Puno;Necrópolis De Huancarani;Zonas arqueológicas;"""Sitio funerario preincaico con tumbas y restos arqueológicos."""
Puno;Sitio Arqueológico De Paru Paru;Zonas arqueológicas;"""Centro arqueológico que conserva andenes y construcciones incas."""
Puno;Baños Termales Piscina Municipal José Solorzano Salas ;Otros;"""Piscina termal municipal abierta al público para uso recreativo."""
Tacna;Escenario De La Batalla Del Alto De La Alianza;Complejo Histórico;"""Lugar histórico donde se libró una importante batalla de la Guerra del Pacífico."""
Tacna;Playa Boca Del Rio;Playas;"""Playa de aguas tranquilas ubicada cerca de la frontera con Chile."""
Tacna;Volcán Yucamani;Volcanes;"""Volcán activo que destaca en el paisaje andino por su gran altitud."""
Tacna;Baños Termales Jhuntu Phuju;Otros;"""Pozas termales naturales usadas para relajación y fines terapéuticos."""
